1 76
1000 138
2000 356
3000 798
4000 1384
5000 2077
6000 2951
7000 4535
8000 5895
9000 7653
10000 8571
11000 11499
12000 12089
13000 14976
14000 16819
15000 19027
16000 22674
17000 25193
18000 28513
19000 31583
20000 34572
21000 37884
22000 41184
23000 44825
24000 48757
25000 53428
26000 57213
27000 67563
28000 66108
29000 72417
30000 77319
31000 84501
32000 89967
33000 93221
34000 99959
35000 108349
36000 114659
37000 117661
38000 122791
39000 133600
40000 138808
41000 145182
42000 149531
43000 160809
44000 170014
45000 177525
46000 188512
47000 189885
48000 200956
49000 206398
50000 216818
51000 228052
52000 239991
53000 241174
54000 247137
55000 258407
56000 268484
57000 276701
58000 284444
59000 293037
60000 301151
61000 314315
62000 329733
63000 330997
64000 335152
65000 351272
66000 353221
67000 379700
68000 374851
69000 385470
70000 359861
71000 401538
72000 400775
73000 426010
74000 425824
75000 432123
76000 436701
77000 450087
78000 457566
79000 461599
80000 472751
81000 484124
82000 487206
83000 509542
84000 516813
85000 516855
86000 519149
87000 536940
88000 526781
89000 556214
90000 566254
91000 570204
92000 576878
93000 587195
94000 597435
95000 603848
96000 620297
97000 629437
98000 640686
99000 644364
100000 655895
101000 661280
102000 667573
103000 659918
104000 695246
105000 705775
106000 705765
107000 703506
108000 734518
109000 729114
110000 722923
111000 750708
112000 754563
113000 774807
114000 780114
115000 781878
116000 741346
117000 811313
118000 808732
119000 819602
120000 820137
121000 847116
122000 831081
123000 845717
124000 866134
125000 879208
126000 887621
127000 896649
128000 892715
129000 914963
130000 933422
131000 929213
132000 938980
133000 945381
134000 953864
135000 959599
136000 970370
137000 973916
138000 935447
139000 992363
140000 1001162
141000 1033584
142000 1029193
143000 1035876
144000 1038457
145000 1042306
146000 1061211
147000 1056880
148000 1026068
149000 1094785
150000 1089906
151000 1110019
152000 1101778
153000 1113025
154000 1139010
155000 1162329
156000 1167271
157000 1073225
158000 1164174
159000 1177573
160000 1203647
161000 1207448
162000 1216114
163000 1217821
164000 1217841
165000 1228552
166000 1241879
167000 1258961
168000 1275542
169000 1290275
170000 1320258
171000 1295955
172000 1306548
173000 1201203
174000 1327341
175000 1351568
176000 1369326
177000 1355794
178000 1372949
179000 1398453
180000 1395239
181000 1437022
182000 1451780
183000 1429564
184000 1430336
185000 1501328
186000 1468408
187000 1491947
188000 1491325
189000 1504875
190000 1527488
191000 1530414
192000 1535803
193000 1541033
194000 1442228
195000 1573394
196000 1588685
197000 1596184
198000 1629736
199000 1631831
200000 1644585
